species	max_age	min_age	lat	lon	family	mean_age	source	kingdom	citation
Erethizon	2.588	0.0117	39.644169	-77.58555600000003	Erethizontidae	1.29985	pbdb	Animalia	O. P. Hay. 1920. Descriptions of some Pleistocene vertebrates found in the United States. Proceedings of The United States National Museum 58:83-146
Erethizon	0.126	0.0117	42.783333	-100.083336	Erethizontidae	0.06885	pbdb	Animalia	M. R. Voorhies. 1981. A fossil record of the porcupine (Erethizon dorsatum) from the Great Plains. Journal of Mammalogy 62(4):835-837
Erethizon	0.126	0.0	36.654446	-82.49166899999999	Erethizontidae	0.063	pbdb	Animalia	R. Eshelman and F. Grady. 1986. Quaternary vertebrate localities of Virginia and their avian and mammalian fauna. Virginia Division of Mineral Resources, Publication 75:43-70
Erethizon	1.8	0.3	29.799999	-82.099998	Erethizontidae	1.05	pbdb	Animalia	G. S. Morgan and R. C. Hulbert, Jr. 1995. Overview of the geology and vertebrate biochronology of the Leisey Shell Pit Local Fauna, Hillsborough County, Florida. Bulletin of the Florida Museum of Natural History 37(1)
Erethizon	0.126	0.0117	50.099998	-110.699997	Erethizontidae	0.06885	pbdb	Animalia	C. S. Churcher. 1984.  In W. C. Mahaney (ed.), Correlation of Quaternary Chronologies 
Erethizon	2.588	0.0117	37.543331	-80.398888	Erethizontidae	1.29985	pbdb	Animalia	F. Grady. 1988. A preliminary account of the Pleistocene mammals from Patton Cave, Monroe County, West Virginia. The National Speleological Society Bulletin 50(1):9-16
Erethizon	0.126	0.0117	40.900002	-111.199997	Erethizontidae	0.06885	pbdb	Animalia	W. E. Miller. 1976. Late Pleistocene vertebrates of the Silver Creek local fauna from north Central Utah. Great Basin Naturalist 36(4)
Erethizon	1.8	0.3	39.599998	-78.699997	Erethizontidae	1.05	pbdb	Animalia	M. K. Frazier. 1981. A revision of the fossil Erethizontidae of North America. Bulletin of the Florida State Museum, Biological Sciences 27(1)
Erethizon	0.3	0.012	32.479443	-80.334724	Erethizontidae	0.156	pbdb	Animalia	A. E. Sanders. 2002. Additions to the Pleistocene Mammal Faunas of South Carolina, North Carolina, and Georgia. American Philosophical Society 
Erethizon	2.588	0.0117	36.150002	-84.099998	Erethizontidae	1.29985	pbdb	Animalia	A. R. Cahn. 1939. Pleistocene fossils from a cave in Anderson County, Tennessee. Journal of Mammalogy 20(2):248-250
Erethizon	1.8	0.3	27.9	-82.099998	Erethizontidae	1.05	pbdb	Animalia	G. S. Morgan and J. A. White. 1995. Small mammals (Insectivora, Lagomorpha, and Rodentia) from the early Pleistocene (early Irvingtonian) Leisey Shell Pit Local Fauna, Hillsborough County, Florida. Bulletin of the Florida Museum of Natural History 37(13)
Erethizon	0.126	0.0	37.616669	-91.833336	Erethizontidae	0.063	pbdb	Animalia	B. W. Schubert. 2003. A late Pleistocene and early Holocene mammalian fauna from Little Beaver Cave, Central Ozarks, Missouri. Pp. 149-200 in Ice Age Cave Faunas of North America (B. W. Schubert, J. I. Mead, and R. W. Graham, eds.). Indiana University Press, Bloomington. 
Erethizon	2.588	0.0	38.458332	-79.898888	Erethizontidae	1.294	pbdb	Animalia	C. O. Handley, Jr. 1956. Bones of mammals From West Virginia caves . American Midland Naturalist 56(1):250-256
Erethizon	0.126	0.0117	34.883331	-106.883331	Erethizontidae	0.06885	pbdb	Animalia	A. H. Harris and J. S. Findley. 1964. Pleistocene-Recent fauna of the Isleta Caves, Bernalillo County, New Mexico. American Journal of Science 262:114-120
Erethizon	0.126	0.0117	40.916668	-122.23333	Erethizontidae	0.06885	pbdb	Animalia	E. L. Furlong. 1904. An account of the preliminary excavations in a recently explored Quaternary cave in Shasta County, California. Science 20:53-55
Erethizon	0.126	0.0117	38.833332	-79.29583000000002	Erethizontidae	0.06885	pbdb	Animalia	J. E. Guilday and H. W. Hamilton. 1978. Ecological Significance of Displaced Boreal Mammals in West Virginia Caves. Journal of Mammalogy 59(1):176-181
Erethizon	0.126	0.0117	38.833332	-79.283333	Erethizontidae	0.06885	pbdb	Animalia	J. E. Guilday and H. W. Hamilton. 1978. Ecological Significance of Displaced Boreal Mammals in West Virginia Caves. Journal of Mammalogy 59(1):176-181
Erethizon	0.126	0.0117	38.602779	-79.368889	Erethizontidae	0.06885	pbdb	Animalia	F. Grady and E. R. Garton. 2000. Paleontology and historic field trip of the John Guilday Cave Preserve (Trout Rock). Bulletin - West Virginia Speleological Survey 14:241-244
Erethizon	0.126	0.0	37.616669	-91.833336	Erethizontidae	0.063	pbdb	Animalia	B. W. Schubert. 2003. A late Pleistocene and early Holocene mammalian fauna from Little Beaver Cave, Central Ozarks, Missouri. Pp. 149-200 in Ice Age Cave Faunas of North America (B. W. Schubert, J. I. Mead, and R. W. Graham, eds.). Indiana University Press, Bloomington. 
Erethizon	1.8	0.3	38.700001	-79.300003	Erethizontidae	1.05	pbdb	Animalia	J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals. 
Erethizon	0.126	0.0117	40.974998	-83.449997	Erethizontidae	0.06885	pbdb	Animalia	K. B. Tankersley. 1997. Sheriden: a Clovis cave site in eastern North America. 12(6):713-724
Erethizon	0.126	0.0	36.780556	-81.92083000000002	Erethizontidae	0.063	pbdb	Animalia	R. Eshelman and F. Grady. 1986. Quaternary vertebrate localities of Virginia and their avian and mammalian fauna. Virginia Division of Mineral Resources, Publication 75:43-70
Erethizon	1.8	0.3	40.200001	-75.300003	Erethizontidae	1.05	pbdb	Animalia	J. W. Gidley and C. L. Gazin. 1938. The Pleistocene vertebrate fauna from Cumberland Cave, Maryland. United States National Museum Bulletin 171:1-99
Erethizon	0.126	0.0117	38.357777	-79.083054	Erethizontidae	0.06885	pbdb	Animalia	J. E. Guilday. 1962. The Pleistocene local fauna of the Natural Chimneys, Augusta County, Virginia. Annals of Carnegie Museum 36(9):87-122
Erethizon	0.126	0.0117	40.916668	-122.23333	Erethizontidae	0.06885	pbdb	Animalia	E. L. Furlong. 1904. An account of the preliminary excavations in a recently explored Quaternary cave in Shasta County, California. Science 20:53-55
Erethizon	2.588	0.0117	39.135834	-79.684998	Erethizontidae	1.29985	pbdb	Animalia	E. R. Garton, F. Grady, and A. R. Carpenter. 1987. Mastodon, Mammut americanum, Remains Recovered from Big Springs Cave, Tucker County, West Virginia. Proceedings of the West Virginia Academy of Science 59(1):29
Erethizon	2.588	0.0	31.883333	-104.883331	Erethizontidae	1.294	pbdb	Animalia	M. Y. Ayer. 1936. The archaeological and faunal material from Williams Cave, Guadalupe Mountains, Texas. Proceedings of the Academy of Natural Sciences of Philadelphia 88:599-618
Erethizon	0.126	0.0117	32.366669	-104.449997	Erethizontidae	0.06885	pbdb	Animalia	A. H. Harris. 1987. Reconstruction of mid Wisconsinan environments in southern New Mexico. National Geographic Research 3(2):142-151
Erethizon	1.8	0.3	39.799999	-77.199997	Erethizontidae	1.05	pbdb	Animalia	J. E. Guilday et al. 1984.  In W. C. Mahaney (ed.), Correlation of Quaternary Chronologies 
Erethizon	0.126	0.0117	38.332222	-79.570274	Erethizontidae	0.06885	pbdb	Animalia	R. Eshelman and F. Grady. 1986. Quaternary vertebrate localities of Virginia and their avian and mammalian fauna. Virginia Division of Mineral Resources, Publication 75:43-70
Erethizon	0.126	0.0117	37.097298	-81.33609799999998	Erethizontidae	0.06885	pbdb	Animalia	F. Grady and D. A. Hubbard. 2009. Fossil Mammals From Island Ford Cave, Virginia, USA. Proceedings of the 15th International Speleological Congress 1:86-89
Erethizon	1.8	0.3	36.0	-93.199997	Erethizontidae	1.05	pbdb	Animalia	J. W. Gidley and C. L. Gazin. 1938. The Pleistocene vertebrate fauna from Cumberland Cave, Maryland. United States National Museum Bulletin 171:1-99
Erethizon	2.588	0.0117	38.700001	-79.300003	Erethizontidae	1.29985	pbdb	Animalia	F. Grady and E. R. Garton. 2000. Paleontology and historic field trip of the John Guilday Cave Preserve (Trout Rock). Bulletin - West Virginia Speleological Survey 14:241-244
Erethizon	0.126	0.0117	31.183332	-104.199997	Erethizontidae	0.06885	pbdb	Animalia	W. W. Dalquest and F. B. Stangl, Jr. 1984. Late Pleistocene and early Recent mammals from Fowlkes Cave, southern Culberson County, Texas. Carnegie Museum of Natural History Special Publication 8:432-455
Erethizon	0.126	0.0117	42.799999	-112.900002	Erethizontidae	0.06885	pbdb	Animalia	J. D. Pinsof. 1998. The American Falls local fauna: Late Pleistocene (Sangamonian) vertebrates from southeastern Idaho. Idaho Museum of Natural History Occasional Paper 36:121-145
Erethizon	0.126	0.0117	27.799999	-82.699997	Erethizontidae	0.06885	pbdb	Animalia	G. G. Simpson. 1929. Pleistocene mammalian fauna of the Seminole Field, Pinellas County, Florida. Bulletin of the American Museum of Natural History 56(8):561-599
Erethizon	1.8	0.3	28.799168	-82.070274	Erethizontidae	1.05	pbdb	Animalia	R. A. Martin. 1974. Fossil mammals from the Coleman IIA fauna, Sumter County.  In S. D. Webb (ed.), Pleistocene Mammals of Florida 
Erethizon	0.126	0.0117	38.577221	-79.363609	Erethizontidae	0.06885	pbdb	Animalia	J. E. Guilday and H. W. Hamilton. 1978. Ecological Significance of Displaced Boreal Mammals in West Virginia Caves. Journal of Mammalogy 59(1):176-181
Erethizon	1.8	0.012	28.1	-80.5	Erethizontidae	0.906	pbdb	Animalia	M. K. Frazier. 1981. A revision of the fossil Erethizontidae of North America. Bulletin of the Florida State Museum, Biological Sciences 27(1)
Erethizon	4.9	1.8	29.0	-82.68	Erethizontidae	3.35	pbdb	Animalia	S. D. Webb and K. T. Wilkins. 1984. Carnegie Museum of Natural History Special Publication 8
Erethizon	4.9	0.3	29.690001	-82.559998	Erethizontidae	2.6	pbdb	Animalia	R. C. Hulbert, Jr. 1997. A new late Pliocene porcupine (Rodentia, Erethizontidae) from Florida. Journal of Vertebrate Paleontology 17(3):623-626
Erethizon	4.9	0.3	29.799999	-82.099998	Erethizontidae	2.6	pbdb	Animalia	R. C. Hulbert. 2010. A new early Pleistocene tapir (Mammalia: Perissodactyla) from Florida, with a review of Blancan tapirs from around the state. Bulletin of the Florida Museum of Natural History 49(3):67-126
Eumops	0.126	0.0117	28.083332	-80.599998	Molossidae	0.06885	pbdb	Animalia	G. M. Allen. 1932. A Pleistocene bat from Florida. Journal of Mammalogy 13(3):256-259
Eumops	4.9	1.8	32.0	-110.199997	Molossidae	3.35	pbdb	Animalia	N. J. Czaplewski. 1993. Late Tertiary bats (Mammalia, Chiroptera) from the southwestern United States. Southwestern Naturalist 38(2):111-118
Eumops	0.0117	0.0	35.233334	-114.366669	Molossidae	0.00585	pbdb	Animalia	C. N. Jass. 2002. Preliminary taphonomic analyses of the mammalian microfauna. Pp. 179-190 in Bighorn Cave: Test Excavations of a Stratified Dry Shelter Mohave County, Arizona (P. R. Geib, and D. R. Keller, eds.). Bilby Research Center Occasional Papers 1 (Northern Arizona University, Flagstaff, Arizona). 
Felis	0.126	0.0117	39.230556	-78.050003	Felidae	0.06885	pbdb	Animalia	J. R. Ott and R. E. Weems. 1986. Virginia Division of Mineral Resources. 
Felis	4.9	1.8	32.900002	-117.099998	Felidae	3.35	pbdb	Animalia	J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals. 
Felis	4.9	1.8	34.883331	-101.633331	Felidae	3.35	pbdb	Animalia	L. Werdelin. 1985. Small Pleistocene felines of North America. Journal of Vertebrate Paleontology 5(3):194-210
Felis	4.9	1.8	47.0	-118.5	Felidae	3.35	pbdb	Animalia	J. K. Morgan and N. H. Morgan. 1995. A New Species of Capromeryx (Mammalia: Artiodactyla) from the Taunton Local Fauna of Washington, and the Correlation with Other Blancan Faunas of Washington and Idaho. Journal of Vertebrate Paleontology 15(1):160-170
Felis	4.9	1.8	32.900002	-117.099998	Felidae	3.35	pbdb	Animalia	J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals. 
Felis	4.9	1.8	43.0	-118.0	Felidae	3.35	pbdb	Animalia	J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals. 
Felis	4.9	1.8	32.900002	-117.099998	Felidae	3.35	pbdb	Animalia	J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals. 
Felis	4.9	1.8	33.700001	-101.099998	Felidae	3.35	pbdb	Animalia	J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals. 
Felis	4.9	1.8	33.700001	-101.099998	Felidae	3.35	pbdb	Animalia	J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals. 
Felis	4.9	1.8	37.133331	-100.48333	Felidae	3.35	pbdb	Animalia	J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals. 
Felis	4.9	1.8	37.200001	-100.300003	Felidae	3.35	pbdb	Animalia	J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals. 
Felis	4.9	1.8	42.799999	-114.900002	Felidae	3.35	pbdb	Animalia	J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals. 
Felis	3.6	2.588	32.900002	-117.099998	Felidae	3.0940000000000003	pbdb	Animalia	J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals. 
Felis	4.9	1.8	32.616669	-117.0	Felidae	3.35	pbdb	Animalia	J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals. 
Felis	5.332999999999998	3.6	27.9	-81.800003	Felidae	4.466499999999999	pbdb	Animalia	S. D. Webb, R. C. Hulbert, and G. S. Morgan, HF Evans. 2008. Terrestrial mammals of the Palmetto Fauna (early Pliocene, latest Hemphillian) from the Central Florida Phosphate District.  In X. Wang and L. G. Barnes (eds.), Geology and Vertebrate Paleontology of Western and Southern North America: Contributions in Honor of David P. Whistler (41):293-312
Felis	4.9	1.8	32.716667	-100.916664	Felidae	3.35	pbdb	Animalia	L. Werdelin. 1985. Small Pleistocene felines of North America. Journal of Vertebrate Paleontology 5(3):194-210
Felis	4.9	1.8	37.200001	-100.300003	Felidae	3.35	pbdb	Animalia	L. Werdelin. 1985. Small Pleistocene felines of North America. Journal of Vertebrate Paleontology 5(3):194-210
Geomys	4.9	1.8	37.200001	-100.300003	Geomyidae	3.35	pbdb	Animalia	C. W. Hibbard. 1967. Papers of the Michigan Academy of Science, Arts, and Letters 52
Geomys	1.8	0.3	34.0	-99.800003	Geomyidae	1.05	pbdb	Animalia	W. W. Dalquest. 1962. The Good Creek Formation, Pleistocene of Texas, and Its Fauna. Journal of Paleontology 36(3)
Geomys	1.8	0.3	42.700001	-102.5	Geomyidae	1.05	pbdb	Animalia	R. A. Hintlian. 1975. University of Nebraska MS thesis 
Geomys	1.8	0.3	42.700001	-102.5	Geomyidae	1.05	pbdb	Animalia	R. A. Hintlian. 1975. University of Nebraska MS thesis 
Geomys	0.126	0.0117	37.299999	-105.0	Geomyidae	0.06885	pbdb	Animalia	M. W. Hager. 1975. Late Pliocene and Pleistocene history of the Donnelly Ranch vertebrate fauna, southeastern Colorado. Contributions to Geology, Special Paper 2:3-62
Geomys	0.126	0.0117	39.0	-86.5	Geomyidae	0.06885	pbdb	Animalia	P. W. Parmalee, P. J. Munson, and J. E. Guilday. 1978. The Pleistocene mammalian fauna of Harrodsburg Crevice, Monroe County, Indiana. NSS Bulletin 40:64-75
Geomys	0.126	0.0117	32.799999	-96.599998	Geomyidae	0.06885	pbdb	Animalia	B. H. Slaughter et al. 1962. Bureau of Economic Geology Report of Investigations 48
Geomys	1.8	0.3	38.299999	-97.599998	Geomyidae	1.05	pbdb	Animalia	H. A. Semken, Jr. 1966. Contributions from the Museum of Paleontology, University of Michigan 20(6)
Geomys	1.8	0.3	34.0	-99.800003	Geomyidae	1.05	pbdb	Animalia	W. W. Dalquest. 1962. The Good Creek Formation, Pleistocene of Texas, and Its Fauna. Journal of Paleontology 36(3)
Geomys	0.126	0.0117	32.714721999999995	-96.707497	Geomyidae	0.06885	pbdb	Animalia	B. H. Slaughter. 1966. The Moore Pit local fauna; Pleistocene of Texas. Journal of Paleontology 40(1):78-91
Geomys	0.7809999999999999	0.126	42.1189	-101.186203	Geomyidae	0.45349999999999996	pbdb	Animalia	E. H. Barbour. 1934. A new ovibovine, Symbos convexifrons, sp. nov. Bulletin of the Nebraska State Museum 1(37):295-298
Geomys	0.126	0.0	36.183334	-86.783333	Geomyidae	0.063	pbdb	Animalia	J. E. Guilday. 1977. Sabertooth cat, Smilodon floridanus (Leidy), and associated fauna from a Tennessee Cave (40 Dv 40), the First American Bank site. Journal of the Tennessee Academy of Science 52(3):84-94
Geomys	0.126	0.0117	36.783333	-100.699997	Geomyidae	0.06885	pbdb	Animalia	W. W. Dalquest and J. A. Baskin. 1992. Mammals of the Elm Creek Local Fauna, Late Pleistocene of Beaver County, Oklahoma. American Midland Naturalist 127:13-20
Geomys	0.126	0.0117	38.602779	-79.368889	Geomyidae	0.06885	pbdb	Animalia	F. Grady and E. R. Garton. 2000. Paleontology and historic field trip of the John Guilday Cave Preserve (Trout Rock). Bulletin - West Virginia Speleological Survey 14:241-244
Geomys	1.8	0.3	40.200001	-98.099998	Geomyidae	1.05	pbdb	Animalia	L. D. Martin. 1969. University of Nebraska MS thesis 
Geomys	1.8	0.3	38.299999	-97.599998	Geomyidae	1.05	pbdb	Animalia	H. A. Semken, Jr. 1966. Contributions from the Museum of Paleontology, University of Michigan 20(6)
Geomys	1.8	0.3	38.299999	-97.599998	Geomyidae	1.05	pbdb	Animalia	H. A. Semken, Jr. 1966. Contributions from the Museum of Paleontology, University of Michigan 20(6)
Geomys	1.8	0.3	42.700001	-102.5	Geomyidae	1.05	pbdb	Animalia	R. A. Hintlian. 1975. University of Nebraska MS thesis 
Geomys	1.8	0.3	33.700001	-101.900002	Geomyidae	1.05	pbdb	Animalia	W. W. Dalquest. 1967.  Mammals of the Pleistocene Slaton Local Fauna of Texas. Southwestern Naturalist 12(1):1-30
Geomys	0.126	0.0117	30.265278	-98.255836	Geomyidae	0.06885	pbdb	Animalia	E. L. Lundelius, Jr. 1992. The Avenue Local Fauna, Late Pleistocene vertebrates from terrace deposits at Austin, Texas. Annales Zoologici Fennici 28:329-340
Geomys	1.8	0.3	37.044701	-100.495201	Geomyidae	1.05	pbdb	Animalia	G. E. Schultz. 1969. Geology and paleontology of a late Pleistocene basin in southwest kansas. Geological Society of America Special Paper 105:1-85
Geomys	1.8	0.3	38.700001	-98.099998	Geomyidae	1.05	pbdb	Animalia	C. W. Hibbard et al. 1978. Contributions from the Museum of Paleontology, University of Michigan 25(2)
Geomys	1.8	0.3	37.200001	-100.300003	Geomyidae	1.05	pbdb	Animalia	C. W. Hibbard and D. W. Taylor. 1960. Two Late Pleistocene Faunas from Southwestern Kansas. Contributions from the Museum of Paleontology, University of Michigan 16(1):1-223
Geomys	0.126	0.0117	38.900002	-90.166664	Geomyidae	0.06885	pbdb	Animalia	M. M. Leighton. 1921. The Pleistocene succession near Alton, Illinois, and the age of the mammalian fossil fauna. Journal of Geology 29(6):505-514
Geomys	1.8	0.3	36.0	-93.199997	Geomyidae	1.05	pbdb	Animalia	B. Kurten and E. Anderson. 1980. Pleistocene mammals of North America 
Geomys	1.8	0.3	38.900002	-99.400002	Geomyidae	1.05	pbdb	Animalia	T. L. McMullen. 1978. Mammals of the Duck Creek Local Fauna, Late Pleistocene of Kansas. Journal of Mammalogy 59(2)
Geomys	1.8	0.3	34.0	-99.800003	Geomyidae	1.05	pbdb	Animalia	W. W. Dalquest. 1962. The Good Creek Formation, Pleistocene of Texas, and Its Fauna. Journal of Paleontology 36(3)
Geomys	2.588	0.0117	42.416668	-90.433334	Geomyidae	1.29985	pbdb	Animalia	"J. Leidy. 1860. Observations on the extinct peccary of North America; being a sequel to ""A memoir on the extinct Dicotylinae of America"". Transactions of the American Philosophical Society 11:97-105"
Geomys	1.8	0.3	42.700001	-102.5	Geomyidae	1.05	pbdb	Animalia	R. A. Hintlian. 1975. University of Nebraska MS thesis 
Geomys	1.8	0.3	42.700001	-102.5	Geomyidae	1.05	pbdb	Animalia	R. A. Hintlian. 1975. University of Nebraska MS thesis 
Geomys	1.8	0.3	36.700001	-99.900002	Geomyidae	1.05	pbdb	Animalia	J. J. Stephens. 1960. Stratigraphy and Paleontology of a late Pleistocene basin, Harper County, Oklahoma. Geological Society America Bulletin 71
Geomys	4.9	1.8	37.200001	-100.300003	Geomyidae	3.35	pbdb	Animalia	C. W. Hibbard. 1970. in Dort and Jones 
Geomys	4.9	1.8	37.133331	-100.48333	Geomyidae	3.35	pbdb	Animalia	C. W. Hibbard. 1967. Papers of the Michigan Academy of Science, Arts, and Letters 52
Geomys	4.9	1.8	37.200001	-100.300003	Geomyidae	3.35	pbdb	Animalia	C. W. Hibbard. 1967. Papers of the Michigan Academy of Science, Arts, and Letters 52
Geomys	0.7809999999999999	0.126	42.1189	-101.186203	Geomyidae	0.45349999999999996	pbdb	Animalia	E. H. Barbour. 1934. A new ovibovine, Symbos convexifrons, sp. nov. Bulletin of the Nebraska State Museum 1(37):295-298
Geomys	4.9	1.8	37.200001	-100.300003	Geomyidae	3.35	pbdb	Animalia	J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals. 
Geomys	4.9	1.8	32.716667	-100.916664	Geomyidae	3.35	pbdb	Animalia	J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals. 
Geomys	4.9	1.8	33.099998	-107.300003	Geomyidae	3.35	pbdb	Animalia	J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals. 
Geomys	4.9	1.8	37.200001	-100.300003	Geomyidae	3.35	pbdb	Animalia	J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals. 
Geomys	4.9	1.8	31.966667	-110.300003	Geomyidae	3.35	pbdb	Animalia	C. L. Gazin. 1942. The Late Cenozoic vertebrate faunas from the San Pedro Valley, Ariz. Proceedings of the United States National Museum 92:475-518
Geomys	4.9	1.8	28.9	-108.0	Geomyidae	3.35	pbdb	Animalia	J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals. 
Geomys	4.9	1.8	32.0	-110.199997	Geomyidae	3.35	pbdb	Animalia	J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals. 
Geomys	4.9	1.8	34.771111	-111.853058	Geomyidae	3.35	pbdb	Animalia	N. J. Czaplewski. 1990. San Bernardino County Museum Association Quarterly 37(3)
Geomys	4.9	1.8	28.9	-108.0	Geomyidae	3.35	pbdb	Animalia	J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals. 
Geomys	0.126	0.0117	29.1	-82.300003	Geomyidae	0.06885	pbdb	Animalia	K. T. Wilkins. 1984. Evolutionary Trends in Florida Pleistocene Pocket Gophers (Genus geomys), with Description of a New Species. Journal of Vertebrate Paleontology 3(3):166-181
Geomys	0.126	0.0117	29.1	-82.300003	Geomyidae	0.06885	pbdb	Animalia	S. D. Webb. 1974. Chronology of Florida Pleistocene mammals.  In S. D. Webb (ed.), Pleistocene Mammals of Florida 
Geomys	0.126	0.0117	29.799999	-82.099998	Geomyidae	0.06885	pbdb	Animalia	S. D. Webb. 1974. Chronology of Florida Pleistocene mammals.  In S. D. Webb (ed.), Pleistocene Mammals of Florida 
Geomys	0.126	0.0117	29.799999	-82.099998	Geomyidae	0.06885	pbdb	Animalia	S. D. Webb. 1974. Chronology of Florida Pleistocene mammals.  In S. D. Webb (ed.), Pleistocene Mammals of Florida 
Geomys	0.126	0.0117	29.6	-82.416664	Geomyidae	0.06885	pbdb	Animalia	S. D. Webb and K. T. Wilkins. 1984. Carnegie Museum of Natural History Special Publication 8
Geomys	0.126	0.0117	29.799999	-82.099998	Geomyidae	0.06885	pbdb	Animalia	K. T. Wilkins. 1984. Evolutionary Trends in Florida Pleistocene Pocket Gophers (Genus geomys), with Description of a New Species. Journal of Vertebrate Paleontology 3(3):166-181
Geomys	0.126	0.0117	29.799999	-82.099998	Geomyidae	0.06885	pbdb	Animalia	S. D. Webb. 1974. Chronology of Florida Pleistocene mammals.  In S. D. Webb (ed.), Pleistocene Mammals of Florida 
Geomys	0.126	0.0117	29.799999	-82.099998	Geomyidae	0.06885	pbdb	Animalia	K. T. Wilkins. 1984. Evolutionary Trends in Florida Pleistocene Pocket Gophers (Genus geomys), with Description of a New Species. Journal of Vertebrate Paleontology 3(3):166-181
Geomys	0.126	0.0117	25.700001	-80.400002	Geomyidae	0.06885	pbdb	Animalia	S. D. Emslie and G. S. Morgan. 1995. Taphonomy of a late Pleistocene carnivore den, Dade County, Florida.  In D. W. Steadman and J. I. Mead (eds.), Late Quaternary Environments and Deep History: A Tribute to Paul Martin 
Geomys	0.126	0.0117	28.716667	-81.449997	Geomyidae	0.06885	pbdb	Animalia	K. T. Wilkins. 1983. Pleistocene mammals from the Rock Springs Local Fauna, Central Florida. Brimleyana 9:69-82
Geomys	0.126	0.0117	29.799999	-82.099998	Geomyidae	0.06885	pbdb	Animalia	K. T. Wilkins. 1984. Evolutionary Trends in Florida Pleistocene Pocket Gophers (Genus geomys), with Description of a New Species. Journal of Vertebrate Paleontology 3(3):166-181
Geomys	0.126	0.0117	28.083332	-80.599998	Geomyidae	0.06885	pbdb	Animalia	C. E. Ray. 1958. Additions to the Pleistocene mammalian fauna from Melbourne, Florida. Bulletin of the Museum of Comparative Zoology 119:419-449
Geomys	0.126	0.0117	29.1	-82.300003	Geomyidae	0.06885	pbdb	Animalia	S. D. Webb. 1974. Chronology of Florida Pleistocene mammals.  In S. D. Webb (ed.), Pleistocene Mammals of Florida 
Geomys	0.126	0.0117	29.799999	-82.099998	Geomyidae	0.06885	pbdb	Animalia	S. D. Webb. 1974. Chronology of Florida Pleistocene mammals.  In S. D. Webb (ed.), Pleistocene Mammals of Florida 
Geomys	0.126	0.0117	28.799999	-82.199997	Geomyidae	0.06885	pbdb	Animalia	S. D. Webb. 1974. Chronology of Florida Pleistocene mammals.  In S. D. Webb (ed.), Pleistocene Mammals of Florida 
Geomys	0.126	0.0117	29.799999	-82.099998	Geomyidae	0.06885	pbdb	Animalia	K. T. Wilkins. 1984. Evolutionary Trends in Florida Pleistocene Pocket Gophers (Genus geomys), with Description of a New Species. Journal of Vertebrate Paleontology 3(3):166-181
Geomys	1.8	0.3	29.700001	-82.599998	Geomyidae	1.05	pbdb	Animalia	S. D. Webb. 1974. Chronology of Florida Pleistocene mammals.  In S. D. Webb (ed.), Pleistocene Mammals of Florida 
Geomys	0.126	0.0117	29.4	-82.599998	Geomyidae	0.06885	pbdb	Animalia	K. T. Wilkins. 1984. Evolutionary Trends in Florida Pleistocene Pocket Gophers (Genus geomys), with Description of a New Species. Journal of Vertebrate Paleontology 3(3):166-181
Geomys	0.126	0.0117	29.4	-82.599998	Geomyidae	0.06885	pbdb	Animalia	K. T. Wilkins. 1984. Evolutionary Trends in Florida Pleistocene Pocket Gophers (Genus geomys), with Description of a New Species. Journal of Vertebrate Paleontology 3(3):166-181
Geomys	1.8	0.3	27.700001	-82.5	Geomyidae	1.05	pbdb	Animalia	G. S. Morgan and J. A. White. 1995. Small mammals (Insectivora, Lagomorpha, and Rodentia) from the early Pleistocene (early Irvingtonian) Leisey Shell Pit Local Fauna, Hillsborough County, Florida. Bulletin of the Florida Museum of Natural History 37(13)
Geomys	0.126	0.0117	29.4	-82.599998	Geomyidae	0.06885	pbdb	Animalia	S. D. Webb. 1974. Chronology of Florida Pleistocene mammals.  In S. D. Webb (ed.), Pleistocene Mammals of Florida 
Geomys	1.8	0.3	27.700001	-82.5	Geomyidae	1.05	pbdb	Animalia	R. C. Hulbert, Jr. and G. S. Morgan. 1989. Stratigraphy, paleoecology, and vertebrate fauna of the Leisey Shell Pit Local Fauna, early Pleistocene (Irvingtonian) of southwestern Florida. Papers in Florida Paleontology 2:1-19
Geomys	1.8	0.3	29.011944	-82.668053	Geomyidae	1.05	pbdb	Animalia	J. Alroy. 2010. Stop the madness. 
