species	max_age	min_age	lat	lon	family	mean_age	source	kingdom	citation
Aphelops	20.43	15.97	42.400002	-103.800003	Rhinocerotidae	18.2	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	15.97	13.6	34.799999	-117.0	Rhinocerotidae	14.785	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	20.43	15.97	42.400002	-103.800003	Rhinocerotidae	18.2	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	20.43	15.97	42.400002	-103.800003	Rhinocerotidae	18.2	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	20.43	15.97	42.400002	-103.800003	Rhinocerotidae	18.2	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	20.43	15.97	42.400002	-103.800003	Rhinocerotidae	18.2	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	20.43	15.97	42.400002	-103.800003	Rhinocerotidae	18.2	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	20.43	15.97	41.700001	-119.699997	Rhinocerotidae	18.2	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	15.97	13.6	42.683334	-102.849998	Rhinocerotidae	14.785	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	20.43	15.97	42.799999	-103.099998	Rhinocerotidae	18.2	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	13.6	10.3	38.25	-117.900002	Rhinocerotidae	11.95	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	20.43	15.97	41.700001	-119.699997	Rhinocerotidae	18.2	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	20.43	15.97	42.400002	-103.800003	Rhinocerotidae	18.2	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	20.43	15.97	41.700001	-119.699997	Rhinocerotidae	18.2	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	1.8	0.3	42.700001	-102.5	Rhinocerotidae	1.05	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	20.43	15.97	42.400002	-103.800003	Rhinocerotidae	18.2	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	15.97	13.6	42.1856	-103.732651	Rhinocerotidae	14.785	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	20.43	15.97	42.400002	-103.800003	Rhinocerotidae	18.2	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	15.97	13.6	30.5	-95.0	Rhinocerotidae	14.785	pbdb	Animalia	D. R. Prothero and E. M. Manning. 1987. Miocene rhinoceroses from the Texas Gulf Coastal Plain. Journal of Paleontology 61(2):388-423
Aphelops	20.43	15.97	42.400002	-103.800003	Rhinocerotidae	18.2	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
Aphelops	15.97	13.6	34.799999	-117.0	Rhinocerotidae	14.785	pbdb	Animalia	D. R. Prothero. 2005. The Evolution of North American Rhinoceroses. 
