x	y	veg	x_albers	y_albers
-63.25	78.75	1	1470944	5830909
-62.75	78.75	1	1492485	5838704
-62.25	78.75	1	1513984	5846614
-61.75	78.75	1	1535441	5854636
-61.25	78.75	1	1556856	5862770
-60.75	78.75	1	1578228	5871018
-60.25	78.75	1	1599556	5879377
-59.75	78.75	1	1620840	5887849
-59.25	78.75	1	1642079	5896433
-58.75	78.75	1	1663272	5905128
-58.25	78.75	1	1684420	5913935
-57.75	78.75	1	1705520	5922853
-57.25	78.75	1	1726574	5931881
-56.75	78.75	1	1747580	5941021
-56.25	78.75	1	1768537	5950270
-55.75	78.75	1	1789446	5959630
-55.25	78.75	1	1810305	5969100
-54.75	78.75	1	1831113	5978679
-54.25	78.75	1	1851871	5988368
-53.75	78.75	1	1872578	5998166
-53.25	78.75	1	1893233	6008072
-52.75	78.75	1	1913836	6018087
-52.25	78.75	1	1934386	6028211
-101.25	78.25	1	-241904	5554553
-100.75	78.25	1	-218886	5553341
-100.25	78.25	1	-195861	5552250
-97.25	78.25	1	-57624	5548248
-96.75	78.25	1	-34575	5548006
-96.25	78.25	1	-11525	5547884
-95.75	78.25	1	11525	5547884
-91.25	78.25	1	218886	5553341
-86.75	78.25	1	425756	5568606
-86.25	78.25	1	448691	5570906
-85.75	78.25	1	471613	5573327
-85.25	78.25	1	494523	5575869
-84.75	78.25	1	517419	5578531
-84.25	78.25	1	540301	5581314
-83.75	78.25	1	563167	5584216
-83.25	78.25	1	586018	5587240
-82.75	78.25	1	608853	5590383
-82.25	78.25	1	631671	5593646
-81.75	78.25	1	654472	5597030
-81.25	78.25	1	677254	5600533
-80.75	78.25	1	700018	5604156
-80.25	78.25	1	722762	5607899
-79.75	78.25	1	745486	5611761
-79.25	78.25	1	768190	5615743
-78.75	78.25	1	790872	5619845
-78.25	78.25	1	813533	5624065
-77.75	78.25	1	836170	5628405
-77.25	78.25	1	858785	5632864
-76.75	78.25	1	881376	5637442
-76.25	78.25	1	903943	5642139
-72.25	78.25	1	1083523	5683971
-71.75	78.25	1	1105842	5689731
-71.25	78.25	1	1128130	5695608
-70.75	78.25	1	1150387	5701602
-70.25	78.25	1	1172613	5707713
-69.75	78.25	1	1194806	5713941
-69.25	78.25	1	1216965	5720285
-68.75	78.25	1	1239091	5726746
-68.25	78.25	1	1261183	5733324
-67.75	78.25	1	1283240	5740017
-67.25	78.25	1	1305262	5746827
-66.75	78.25	1	1327247	5753752
-66.25	78.25	1	1349195	5760793
-65.75	78.25	1	1371106	5767949
-65.25	78.25	1	1392980	5775220
-64.75	78.25	1	1414814	5782607
-64.25	78.25	1	1436610	5790108
-63.75	78.25	1	1458366	5797724
-63.25	78.25	1	1480081	5805454
-62.75	78.25	1	1501755	5813298
-62.25	78.25	1	1523388	5821256
-61.75	78.25	1	1544979	5829328
-61.25	78.25	1	1566527	5837513
-60.75	78.25	1	1588031	5845812
-60.25	78.25	1	1609492	5854223
-59.75	78.25	1	1630908	5862748
-59.25	78.25	1	1652278	5871385
-58.75	78.25	1	1673604	5880134
-58.25	78.25	1	1694882	5888995
-57.75	78.25	1	1716114	5897969
-57.25	78.25	1	1737299	5907053
-56.75	78.25	1	1758435	5916250
-56.25	78.25	1	1779522	5925557
-55.75	78.25	1	1800561	5934975
-55.25	78.25	1	1821549	5944503
-54.75	78.25	1	1842487	5954142
-54.25	78.25	1	1863374	5963891
-53.75	78.25	1	1884210	5973750
-53.25	78.25	1	1904993	5983718
-52.75	78.25	1	1925724	5993795
-52.25	78.25	1	1946401	6003981
-112.75	77.75	1	-773104	5588152
-112.25	77.75	1	-750255	5584144
-111.75	77.75	1	-727385	5580257
-111.25	77.75	1	-704496	5576490
-110.75	77.75	1	-681586	5572844
-110.25	77.75	1	-658658	5569318
-95.75	77.75	1	11599	5519859
-87.75	77.75	1	382281	5536447
-87.25	77.75	1	405386	5538519
-86.75	77.75	1	428479	5540713
-84.75	77.75	1	520729	5550701
-84.25	77.75	1	543757	5553501
-83.75	77.75	1	566770	5556423
-83.25	77.75	1	589767	5559465
-82.75	77.75	1	612748	5562629
-82.25	77.75	1	635712	5565913
-81.75	77.75	1	658658	5569318
-81.25	77.75	1	681586	5572844
-80.75	77.75	1	704496	5576490
-80.25	77.75	1	727385	5580257
-79.75	77.75	1	750255	5584144
-79.25	77.75	1	773104	5588152
-78.75	77.75	1	795931	5592279
-78.25	77.75	1	818737	5596527
-69.75	77.75	1	1202449	5686977
-69.25	77.75	1	1224750	5693362
-68.75	77.75	1	1247018	5699865
-68.25	77.75	1	1269251	5706484
-67.75	77.75	1	1291449	5713220
-67.25	77.75	1	1313611	5720073
-66.75	77.75	1	1335737	5727043
-66.25	77.75	1	1357826	5734129
-65.75	77.75	1	1379878	5741331
-65.25	77.75	1	1401891	5748649
-64.75	77.75	1	1423865	5756082
-64.25	77.75	1	1445800	5763631
-63.75	77.75	1	1467695	5771296
-63.25	77.75	1	1489549	5779075
-62.75	77.75	1	1511362	5786970
-62.25	77.75	1	1533133	5794979
-61.75	77.75	1	1554862	5803102
-61.25	77.75	1	1576548	5811340
-60.75	77.75	1	1598190	5819692
-60.25	77.75	1	1619788	5828157
-59.75	77.75	1	1641341	5836736
-59.25	77.75	1	1662848	5845428
-58.75	77.75	1	1684310	5854234
-58.25	77.75	1	1705725	5863152
-57.75	77.75	1	1727092	5872182
-57.25	77.75	1	1748412	5881325
-56.75	77.75	1	1769684	5890580
-56.25	77.75	1	1790906	5899947
-55.75	77.75	1	1812079	5909425
-55.25	77.75	1	1833202	5919014
-54.75	77.75	1	1854274	5928715
-54.25	77.75	1	1875295	5938526
-53.75	77.75	1	1896263	5948448
-53.25	77.75	1	1917180	5958480
-52.75	77.75	1	1938043	5968622
-52.25	77.75	1	1958852	5978873
-118.75	77.25	1	-1052314	5617419
-118.25	77.25	1	-1029615	5611942
-117.75	77.25	1	-1006888	5606585
-117.25	77.25	1	-984132	5601347
-116.75	77.25	1	-961350	5596229
-87.25	77.25	1	408051	5509656
-86.75	77.25	1	431296	5511864
-86.25	77.25	1	454530	5514194
-85.75	77.25	1	477751	5516646
-85.25	77.25	1	500958	5519221
-84.25	77.25	1	547332	5524737
-83.75	77.25	1	570496	5527677
-83.25	77.25	1	593644	5530740
-82.75	77.25	1	616776	5533924
-82.25	77.25	1	639891	5537230
-81.75	77.25	1	662988	5540657
-81.25	77.25	1	686067	5544206
-80.75	77.25	1	709127	5547876
-80.25	77.25	1	732167	5551668
-79.75	77.25	1	755187	5555581
-68.25	77.25	1	1277595	5678725
-67.75	77.25	1	1299939	5685505
-67.25	77.25	1	1322247	5692404
-66.25	77.25	1	1366753	5706551
-65.75	77.25	1	1388949	5713801
-65.25	77.25	1	1411107	5721167
-64.75	77.25	1	1433226	5728649
-64.25	77.25	1	1455305	5736248
-63.75	77.25	1	1477344	5743963
-63.25	77.25	1	1499342	5751793
-62.75	77.25	1	1521298	5759740
-62.25	77.25	1	1543212	5767801
-61.75	77.25	1	1565084	5775978
-61.25	77.25	1	1586912	5784270
-60.75	77.25	1	1608697	5792677
-60.25	77.25	1	1630436	5801198
-59.75	77.25	1	1652131	5809833
-59.25	77.25	1	1673780	5818583
-58.75	77.25	1	1695383	5827446
-58.25	77.25	1	1716938	5836422
-57.75	77.25	1	1738447	5845512
-57.25	77.25	1	1759907	5854715
-56.75	77.25	1	1781318	5864031
-56.25	77.25	1	1802680	5873459
-55.75	77.25	1	1823992	5883000
-55.25	77.25	1	1845254	5892653
-54.75	77.25	1	1866464	5902417
-54.25	77.25	1	1887623	5912293
-53.75	77.25	1	1908730	5922279
-53.25	77.25	1	1929784	5932377
-52.75	77.25	1	1950784	5942586
-52.25	77.25	1	1971730	5952905
-120.25	76.75	1	-1127786	5605608
-119.75	76.75	1	-1105024	5599735
-119.25	76.75	1	-1082232	5593981
-118.75	76.75	1	-1059409	5588347
-117.75	76.75	1	-1013677	5577440
-117.25	76.75	1	-990768	5572167
-116.75	76.75	1	-967832	5567014
-96.25	76.75	1	-11754	5460947
-95.75	76.75	1	11754	5460947
-95.25	76.75	1	35261	5461071
-94.75	76.75	1	58767	5461318
-94.25	76.75	1	82272	5461689
-93.75	76.75	1	105774	5462184
-89.25	76.75	1	317086	5472197
-88.75	76.75	1	340530	5473927
-88.25	76.75	1	363964	5475781
-87.75	76.75	1	387388	5477757
-87.25	76.75	1	410802	5479857
-86.75	76.75	1	434204	5482080
-86.25	76.75	1	457594	5484426
-85.75	76.75	1	480972	5486895
-85.25	76.75	1	504336	5489487
-84.75	76.75	1	527687	5492202
-84.25	76.75	1	551022	5495040
-83.75	76.75	1	574343	5498000
-83.25	76.75	1	597647	5501083
-82.75	76.75	1	620935	5504289
-82.25	76.75	1	644206	5507617
-81.75	76.75	1	667459	5511068
