lon	lat	age	label	paleolon	paleolat	x_albers	y_albers	rounded_ages
-123.03299999999999	74.3	15.0	0	-118.54	75.13	-1298653	5487391	14.895
-141.333	67.333	15.2	0	-138.22	68.29	-2378254	5327342	14.895
-148.941	63.9	15.5	0	-146.01	64.96	-2904686	5265680	14.895
-141.916667	64.083333	2.9	1	-141.33	64.26	-2544335	5079257	3.09
-145.616667	63.233332999999995	5.26	1	-143.8	63.35	-2771488	5111901	4.4665
-163.116667	65.883333	5.7	0	-162.24	66.24	-3445872	5889320	6.2895
-142.133333	67.15	6.57	0	-140.74	67.57	-2424455	5333254	6.2895
-148.85	63.86666700000001	9.7	0	-147.02	64.47	-2901886	5260219	9.438
-148.85	63.86666700000001	13.4	0	-146.47	64.7	-2901886	5260219	12.725000000000001
-148.85	63.86666700000001	14.0	0	-146.29	64.77	-2901886	5260219	14.895
-148.85	63.86666700000001	16.0	0	-145.91	64.93	-2901886	5260219	18.205000000000002
-123.235	39.781	13.79	0	-118.44	39.63	-2280216	2191430	12.725000000000001
-125.3167	52.467	10.0	0	-123.19	53.01	-2023054	3580355	9.438
-125.353	52.0164	10.0	0	-123.27	52.55	-2040273	3534762	9.438
-123.0417	51.9194	10.0	0	-120.9	52.45	-1887119	3476964	9.438
-122.4833	52.9833	10.0	0	-120.32	53.51	-1817607	3576320	9.438
-120.7844	50.886	10.0	0	-118.63	51.41	-1762271	3325588	9.438
-119.633	44.5	7.4	1	-117.28	44.43	-1855518	2621963	9.438
-77.4358	37.5406	13.8	0	-74.37	37.74	1614483	1769530	12.725000000000001
-84.986	30.468000000000004	16.5	0	-81.71	30.82	1053176	882434	18.205000000000002
-115.789	46.342	11.5	0	-111.79	46.26	-1516192	2753235	9.438
-116.55	43.0	9.5	0	-113.16	42.92	-1653441	2402173	9.438
-75.062	38.548	8.45	0	-73.27	38.67	1793092	1922580	9.438
-75.062	38.548	15.5	0	-71.54	38.72	1793092	1922580	14.895
-75.062	38.548	18.9	0	-70.9	38.73	1793092	1922580	18.205000000000002
-112.41799999999999	34.583	7.6	0	-110.79	34.96	-1486748	1408901	9.438
-74.333	40.034	11.0	0	-71.85	40.17	1816814	2098800	9.438
-75.155	78.257	3.1	1	-73.78	78.3	953192	5653215	3.09
-75.155	78.257	7.6	0	-71.45	78.37	953192	5653215	9.438
-82.339	29.285	9.25	1	-80.46	29.48	1323512	785387	9.438
-119.071	47.925	8.45	0	-117.37	48.34	-1720964	2979820	9.438
-101.03200000000001	42.808	6.25	1	-99.71	43.04	-408989	2212081	6.2895
-120.541	46.506	7.6	0	-117.87	46.42	-1868316	2855565	9.438
-120.522	46.657	7.6	0	-117.86	46.57	-1862632	2871369	9.438
-120.54700000000001	46.702	7.6	0	-117.88	46.61	-1863215	2876679	9.438
-120.645	46.818000000000005	8.45	0	-117.98	46.73	-1867192	2891021	9.438
-120.46700000000001	46.901	8.45	0	-117.8	46.81	-1851667	2896422	9.438
-114.021	42.101000000000006	13.8	0	-110.62	42.6	-1471522	2262151	12.725000000000001
-119.296	39.422	14.05	0	-114.5	39.31	-1967403	2064562	14.895
-121.88600000000001	36.562	10.65	0	-118.44	35.96	-2267210	1812389	9.438
-148.96	63.85	9.15	0	-147.33	64.4	-2908124	5262241	9.438
-120.01	38.5	7.0	0	-117.6	38.43	-2052265	1979506	6.2895
-120.02	35.97	5.0	1	-118.28	35.92	-2123994	1705240	4.4665
-99.242	79.934	4.45	1	-97.46	80.09	-146459	5637425	4.4665
-131.217	71.584	13.8	0	-127.71	72.42	-1748134	5429534	12.725000000000001
-87.101	75.105	19.5	0	-78.81	75.52	427578	5376148	18.205000000000002
-122.67	38.58	3.95	0	-121.29	38.53	-2271455	2048672	4.4665
-122.64	38.4	3.95	0	-121.26	38.35	-2274549	2028567	4.4665
-122.67	38.4	3.95	0	-121.29	38.35	-2277043	2029286	4.4665
-122.72	38.51	3.95	0	-121.34	38.46	-2277778	2042330	4.4665
