index	Latitude	Longitude	Age.Max	Age.Min	mean_age	age_bin	paleolat	paleolon	Openness	x_albers	y_albers	x_paleo_albers	y_paleo_albers
551	41.2	-112.55	6.1	6.1	6.1	6	41.42	-111.07	Open	-1370147	2140992	-1244812	2144917
552	41.2	-112.55	6.4	6.4	6.4	6	41.42	-111.07	Open	-1370147	2140992	-1244812	2144917
553	41.2	-112.55	6.6	6.6	6.6	7	41.45	-110.83	Open	-1370147	2140992	-1224628	2145116
554	41.2	-112.55	7.2	7.2	7.2	7	41.45	-110.83	Open	-1370147	2140992	-1224628	2145116
555	41.2	-112.55	7.5	7.5	7.5	8	41.49	-110.58	Open	-1370147	2140992	-1203463	2146346
556	41.2	-112.55	7.8	7.8	7.8	8	41.49	-110.58	Open	-1370147	2140992	-1203463	2146346
557	41.2	-112.55	8.1	8.1	8.1	8	41.49	-110.58	Open	-1370147	2140992	-1203463	2146346
558	41.2	-112.55	8.4	8.4	8.4	8	41.49	-110.58	Open	-1370147	2140992	-1203463	2146346
559	41.2	-112.55	8.6	8.6	8.6	9	41.52	-110.33	Open	-1370147	2140992	-1182481	2146526
560	41.2	-112.55	8.9	8.9	8.9	9	41.52	-110.33	Open	-1370147	2140992	-1182481	2146526
561	41.2	-112.55	9.5	9.5	9.5	10	41.55	-110.08	Open	-1370147	2140992	-1161508	2146763
562	41.2	-112.55	9.7	9.7	9.7	10	41.55	-110.08	Open	-1370147	2140992	-1161508	2146763
563	41.2	-112.55	10	10	10	10	41.55	-110.08	Open	-1370147	2140992	-1161508	2146763
564	41.2	-112.55	10.3	10.3	10.3	10	41.55	-110.08	Open	-1370147	2140992	-1161508	2146763
565	41.2	-112.55	10.5	10.5	10.5	10	41.55	-110.08	Open	-1370147	2140992	-1161508	2146763
566	41.2	-112.55	10.6	10.6	10.6	11	41.59	-109.84	Open	-1370147	2140992	-1141202	2148284
567	41.2	-112.55	10.7	10.7	10.7	11	41.59	-109.84	Open	-1370147	2140992	-1141202	2148284
568	41.2	-112.55	11	11	11	11	41.59	-109.84	Open	-1370147	2140992	-1141202	2148284
569	41.2	-112.55	11.2	11.2	11.2	11	41.59	-109.84	Open	-1370147	2140992	-1141202	2148284
570	41.2	-112.55	11.4	11.4	11.4	11	41.59	-109.84	Open	-1370147	2140992	-1141202	2148284
571	41.2	-112.55	11.5	11.5	11.5	12	41.63	-109.6	Open	-1370147	2140992	-1120910	2149857
572	41.2	-112.55	11.8	11.8	11.8	12	41.63	-109.6	Open	-1370147	2140992	-1120910	2149857
573	41.2	-112.55	12	12	12	12	41.63	-109.6	Open	-1370147	2140992	-1120910	2149857
574	41.2	-112.55	12.4	12.4	12.4	12	41.63	-109.6	Open	-1370147	2140992	-1120910	2149857
575	41.2	-112.55	12.5	12.5	12.5	12	41.63	-109.6	Open	-1370147	2140992	-1120910	2149857
576	41.2	-112.55	12.7	12.7	12.7	13	41.67	-109.36	Open	-1370147	2140992	-1100634	2151483
577	41.2	-112.55	12.9	12.9	12.9	13	41.67	-109.36	Open	-1370147	2140992	-1100634	2151483
578	41.2	-112.55	13	13	13	13	41.67	-109.36	Open	-1370147	2140992	-1100634	2151483
579	41.2	-112.55	13.1	13.1	13.1	13	41.67	-109.36	Open	-1370147	2140992	-1100634	2151483
580	41.2	-112.55	13.2	13.2	13.2	13	41.67	-109.36	Open	-1370147	2140992	-1100634	2151483
581	41.2	-112.55	13.5	13.5	13.5	14	41.71	-109.12	Open	-1370147	2140992	-1080373	2153162
630	44	-111	9.2	9.2	9.2	9	44.42	-109.06	Open	-1193760	2428727	-1034000	2452298
647	43.83	-73.05	23	16	19.5	20	43.96	-68.44	Closed	1820818	2536292	2173002	2647175
649	42.5	-100	14	13	13.5	14	43.03	-96.93	Open	-326615	2173701	-75380	2226422
650	36.8	-100.5	12	10	11	11	37.22	-98.17	Open	-397635	1537764	-190729	1577586
651	35	-101	12	10	11	11	35.42	-98.7	Open	-452377	1338704	-243028	1377255
