index	Latitude	Longitude	Age Max	Age Min	ID	Openness	mean_age
109	38.548	-75.062	11.6	5.3	1323	Closed	8.45
110	38.548	-75.062	11.7	9.6	1324	Closed	10.649999999999999
111	38.548	-75.062	11.7	9.6	1325	Closed	10.649999999999999
112	38.548	-75.062	11.9	10.2	1326	Closed	11.05
113	38.548	-75.062	11.9	10.2	1327	Closed	11.05
114	38.548	-75.062	11.9	10.2	1328	Closed	11.05
115	38.548	-75.062	17.0	14.0	1329	Closed	15.5
116	38.548	-75.062	17.0	14.0	1330	Closed	15.5
117	38.548	-75.062	17.0	14.0	1331	Closed	15.5
118	38.548	-75.062	17.0	14.0	1332	Closed	15.5
119	38.548	-75.062	17.0	14.0	1333	Closed	15.5
120	38.548	-75.062	20.8	17.0	1334	Closed	18.9
121	38.548	-75.062	20.8	17.0	1335	Closed	18.9
122	38.548	-75.062	20.8	17.0	1336	Closed	18.9
123	38.548	-75.062	20.8	17.0	1337	Closed	18.9
124	38.548	-75.062	20.8	17.0	1338	Closed	18.9
125	38.548	-75.062	20.8	17.0	1339	Closed	18.9
126	38.548	-75.062	20.8	17.0	1340	Closed	18.9
127	34.583	-112.418	11.6	3.6	1341	Closed	7.6
128	40.034	-74.333	11.0	11.0	1344	Closed	11.0
129	78.257	-75.155	3.6	2.6	1345	Open	3.1
130	78.257	-75.155	11.6	3.6	1346	Closed	7.6
131	78.257	-75.155	11.6	3.6	1347	Closed	7.6
132	33.85	-120.75	5.3	2.6	1862	Open	3.95
133	33.85	-120.75	5.3	2.6	1863	Open	3.95
134	33.85	-120.75	5.3	2.6	1864	Open	3.95
135	33.85	-120.75	5.3	2.6	1865	Open	3.95
136	33.85	-120.75	5.3	2.6	1866	Open	3.95
137	33.85	-120.75	5.3	2.6	1867	Open	3.95
138	33.85	-120.75	5.3	2.6	1868	Open	3.95
139	33.85	-120.75	5.3	2.6	1869	Open	3.95
140	33.85	-120.75	5.3	2.6	1870	Open	3.95
141	33.85	-120.75	5.3	2.6	1871	Open	3.95
142	33.85	-120.75	5.3	2.6	1872	Open	3.95
143	33.85	-120.75	5.3	2.6	1873	Open	3.95
144	33.85	-120.75	5.3	2.6	1874	Open	3.95
145	33.85	-120.75	5.3	2.6	1875	Open	3.95
146	33.85	-120.75	5.3	2.6	1876	Open	3.95
147	33.85	-120.75	5.3	2.6	1877	Open	3.95
148	33.85	-120.75	5.3	2.6	1878	Open	3.95
149	33.85	-120.75	5.3	2.6	1879	Open	3.95
150	33.85	-120.75	5.3	2.6	1880	Open	3.95
151	33.85	-120.75	5.3	2.6	1881	Open	3.95
152	33.85	-120.75	5.3	2.6	1882	Open	3.95
153	33.85	-120.75	5.3	2.6	1883	Open	3.95
154	33.85	-120.75	5.3	2.6	1884	Open	3.95
155	33.85	-120.75	5.3	2.6	1885	Open	3.95
156	33.85	-120.75	5.3	2.6	1886	Open	3.95
157	33.85	-120.75	5.3	2.6	1887	Open	3.95
158	33.85	-120.75	5.3	2.6	1888	Open	3.95
159	33.85	-120.75	5.3	2.6	1889	Open	3.95
160	33.85	-120.75	5.3	2.6	1890	Open	3.95
161	33.85	-120.75	5.3	2.6	1891	Open	3.95
162	33.85	-120.75	5.3	2.6	1892	Open	3.95
163	33.85	-120.75	5.3	2.6	1893	Open	3.95
164	33.85	-120.75	5.3	2.6	1894	Open	3.95
165	33.85	-120.75	5.3	2.6	1895	Open	3.95
166	33.85	-120.75	5.3	2.6	1896	Open	3.95
167	33.85	-120.75	5.3	2.6	1897	Open	3.95
168	33.85	-120.75	5.3	2.6	1898	Open	3.95
169	33.85	-120.75	5.3	2.6	1899	Open	3.95
170	33.85	-120.75	5.3	2.6	1900	Open	3.95
171	33.85	-120.75	5.3	2.6	1901	Open	3.95
172	33.85	-120.75	5.3	2.6	1902	Open	3.95
173	33.85	-120.75	5.3	2.6	1903	Open	3.95
174	33.85	-120.75	5.3	2.6	1904	Open	3.95
175	33.85	-120.75	5.3	2.6	1905	Open	3.95
176	33.85	-120.75	5.3	2.6	1906	Open	3.95
177	33.85	-120.75	5.3	2.6	1907	Open	3.95
178	33.85	-120.75	5.3	2.6	1908	Open	3.95
179	33.85	-120.75	5.3	2.6	1909	Open	3.95
180	33.85	-120.75	5.3	2.6	1910	Open	3.95
181	33.85	-120.75	5.3	2.6	1911	Open	3.95
182	33.85	-120.75	5.3	2.6	1912	Open	3.95
183	33.85	-120.75	11.6	5.3	1913	Open	8.45
184	33.85	-120.75	11.6	5.3	1914	Open	8.45
185	33.85	-120.75	11.6	5.3	1915	Open	8.45
186	33.85	-120.75	11.6	5.3	1916	Open	8.45
