index	lon	lat	age	label	paleolon	paleolat	rounded_ages
355	-101.77	42.81	19.1	1	-97.63	43.55	18.205000000000002
356	-103.37	42.43	18.5	1	-99.48	43.16	18.205000000000002
357	-103.04	42.48	18.1	1	-99.14	43.2	18.205000000000002
358	-102.02	42.77	18.1	1	-98.1	43.48	18.205000000000002
360	-102.59	42.56	17.5	1	-98.68	43.28	18.205000000000002
361	-103.07	42.44	17.0	1	-99.39	43.13	18.205000000000002
364	-103.72	42.17	16.1	1	-100.27	42.83	18.205000000000002
365	-102.8	42.64	16.5	1	-99.33	43.28	18.205000000000002
366	-103.72	42.17	15.6	1	-100.27	42.83	14.895
368	-102.85	42.69	15.0	1	-99.59	43.29	14.895
369	-100.5	42.8	11.8	1	-97.86	43.26	12.725000000000001
370	-99.82	42.73	11.4	1	-97.39	43.14	9.438
371	-100.82	42.75	10.8	1	-98.4	43.17	9.438
372	-99.94	42.71	9.5	1	-97.73	43.08	9.438
373	-100.27	42.91	9.0	1	-98.28	43.26	9.438
374	-106.03	35.99	15.8	0	-102.75	36.68	14.895
375	-106.03	35.99	13.75	0	-103.15	36.59	12.725000000000001
377	-97.86195759999998	42.8164657	5.25	1	-96.75	43.0	4.4665
381	-103.7732699	41.5239548	7.0	1	-102.26	41.81	6.2895
382	-103.6247423	41.177774600000006	7.0	1	-102.11	41.47	6.2895
383	-100.0224186	42.8244219	9.5	1	-97.81	43.2	9.438
384	-102.1317116	41.2649071	10.15	1	-99.95	41.66	9.438
391	-99.8301638	37.425487200000006	7.0	1	-98.34	37.69	6.2895
393	-99.5385375	39.0011182	8.0	1	-97.81	39.31	9.438
399	-74.76	39.43	18.5	0	-70.78	39.6	18.205000000000002
406	-73.05	43.84	17.5	0	-68.9	43.97	18.205000000000002
407	-103.79	42.19	16.4	1	-100.34	42.85	18.205000000000002
413	-98.23	42.39	19.5	1	-93.85	43.09	18.205000000000002
420	-119.0	46.0	7.5	0	-116.33	45.92	9.438
458	-115.0	42.0	3.0	1	-114.27	42.1	3.09
465	-115.0	42.0	10.65	0	-112.32	42.37	9.438
471	-107.0	40.0	18.45	1	-103.22	40.79	18.205000000000002
474	-107.0	41.0	18.45	1	-103.19	41.79	18.205000000000002
475	-107.0	41.0	14.95	1	-103.82	41.66	14.895
476	-114.1	42.24	11.95	0	-111.18	42.66	12.725000000000001
477	-118.81	43.74	11.95	0	-114.76	43.63	12.725000000000001
482	-117.03	43.26	14.95	0	-111.97	43.16	14.895
484	-99.76	39.9	4.45	1	-98.9	40.05	4.4665
485	-99.76	39.85	4.45	1	-98.9	40.0	4.4665
486	-101.37	40.42	4.45	1	-100.51	40.58	4.4665
487	-99.54	39.95	4.45	1	-98.67	40.1	4.4665
488	-102.2	39.9	4.45	1	-101.34	40.06	4.4665
489	-102.14	41.33	4.45	1	-101.27	41.49	4.4665
490	-98.73	39.74	4.45	1	-97.86	39.89	4.4665
