genus	age_bin	north_america	south_america	eurasia	africa	australia
Abderites	15	0	5	0	0	0
Abelmoschomys	10	4	0	0	0	0
Abelmoschomys	5	6	0	0	0	0
Abeomelomys	0	0	0	0	0	6
Abothrodon	10	0	1	0	0	0
Abrothrix	0	0	1	0	0	0
Abudhabia	10	0	0	4	0	0
Abudhabia	5	0	0	5	1	0
Acaremys	15	0	11	0	0	0
Acaremys	20	0	2	0	0	0
Acdestis	15	0	5	0	0	0
Aceratherium	0	0	0	1	0	0
Aceratherium	10	0	0	70	0	0
Aceratherium	15	0	0	3	11	0
Aceratherium	20	0	0	1	7	0
Aceratherium	25	0	0	1	0	0
Aceratherium	5	0	0	13	1	0
Acerorhinus	10	0	0	30	0	0
Acerorhinus	15	0	0	3	0	0
Acerorhinus	5	0	0	8	0	0
Acheronictis	20	1	0	0	0	0
Acheronictis	25	2	0	0	0	0
Achlyoscapter	0	1	0	0	0	0
Achlyoscapter	15	8	0	0	0	0
Acinonyx	0	0	0	21	15	0
Acinonyx	5	0	0	11	5	0
Acomys	0	0	0	0	2	0
Acomys	5	0	0	0	2	0
Acrecebus	10	0	1	0	0	0
Acritohippus	15	195	0	0	0	0
Acritohippus	20	11	0	0	0	0
Acritohippus	5	1	0	0	0	0
Acrobates	0	0	0	0	0	20
Acrocyon	15	0	4	0	0	0
Acrocyon	20	0	2	0	0	0
Actenomys	5	0	10	0	0	0
Acteocemas	20	0	0	6	0	0
Actiocyon	10	2	0	0	0	0
Actiocyon	15	2	0	0	0	0
Adcrocuta	10	0	0	54	0	0
Adcrocuta	5	0	0	46	0	0
Adeloblarina	15	7	0	0	0	0
Adelomyarion	25	0	0	4	0	0
Adelphailurus	5	8	0	0	0	0
Adilophontes	20	5	0	0	0	0
Adilophontes	25	1	0	0	0	0
Adinotherium	15	0	9	0	0	0
Adjidaumo	15	1	0	0	0	0
Aegyrcitherium	15	0	0	1	0	0
Aelurocyon	20	3	0	0	0	0
Aelurodon	10	154	0	0	0	0
Aelurodon	15	206	0	0	0	0
Aelurodon	5	6	0	0	0	0
Aepycamelus	10	22	0	0	0	0
Aepycamelus	15	69	0	0	0	0
Aepycamelus	5	1	0	0	0	0
Aepyceros	0	0	0	0	92	0
Aepyceros	5	0	0	0	44	0
Aepyosciurus	0	0	0	1	0	0
Aepyprymnus	0	0	0	0	0	27
Aethomys	0	0	0	0	7	0
Aethomys	5	0	0	0	1	0
Afaromys	10	0	0	0	1	0
Africanictis	15	0	0	0	2	0
Africanomys	10	0	0	0	5	0
Africanomys	15	0	0	0	7	0
Afrikanokeryx	10	0	0	0	1	0
Afrochoerodon	10	0	0	0	1	0
Afrochoerodon	15	0	0	0	8	0
Afrochoerodon	20	0	0	0	2	0
Afrocricetodon	15	0	0	0	1	0
Afrocricetodon	20	0	0	0	7	0
Afrohyrax	10	0	0	0	2	0
Afrohyrax	15	0	0	0	3	0
Afrohyrax	20	0	0	0	4	0
Afromastodon	15	0	0	0	1	0
Afromeryx	15	0	0	0	2	0
Afropithecus	15	0	0	1	2	0
Afropithecus	20	0	0	0	5	0
Afrosmilus	15	0	0	0	2	0
Afrosmilus	20	0	0	1	3	0
Afrotragulus	10	0	0	0	1	0
Afrotragulus	15	0	0	2	1	0
Afrotragulus	20	0	0	0	2	0
Agalmaceros	0	0	4	0	0	0
Agathaeromys	0	0	0	0	0	0
Agnotherium	10	0	0	8	2	0
Agnotherium	15	0	0	8	3	0
Agnotocastor	25	1	0	0	0	0
Agnotocastor	30	2	0	0	0	0
Agriochoerus	20	2	0	0	0	0
Agriochoerus	25	1	0	0	0	0
Agriochoerus	30	5	0	0	0	0
Agriotherium	0	0	0	1	0	0
Agriotherium	10	1	0	0	0	0
Agriotherium	15	1	0	0	0	0
Agriotherium	5	32	0	9	4	0
Ahytherium	0	0	2	0	0	0
Ailurarctos	10	0	0	1	0	0
Ailuropoda	0	0	0	52	0	0
Ailuropoda	5	0	0	1	0	0
Ailurus	0	0	0	1	0	0
Akodon	0	0	4	0	0	0
Aktaucyon	20	0	0	1	0	0
Aktaumys	15	0	0	1	0	0
Aktaumys	20	0	0	1	0	0
Akzaromys	15	0	0	1	0	0
Akzaromys	20	0	0	1	0	0
Albanensia	10	0	0	30	0	0
Albanensia	15	0	0	10	0	0
Albanohyus	10	0	0	15	0	0
Albanohyus	15	0	0	4	1	0
Albanohyus	20	0	0	1	0	0
Albanosmilus	10	0	0	20	0	0
Albanosmilus	15	0	0	2	0	0
Albertona	15	0	0	2	0	0
Albertona	20	0	0	1	0	0
Albireo	5	4	0	0	0	0
Alcelaphus	0	0	0	0	115	0
Alcelaphus	5	0	0	0	3	0
Alces	0	4	0	17	0	0
Alces	5	0	0	2	0	0
Alephis	0	0	0	1	0	0
Alephis	5	0	0	6	0	0
Aletomeryx	15	4	0	0	0	0
Aletomeryx	20	50	0	0	0	0
Alforjas	10	11	0	0	0	0
Alforjas	5	11	0	0	0	0
Algarolutra	0	0	0	0	0	0
Algarolutra	5	0	0	0	0	0
Alicornops	10	0	0	39	0	0
Alicornops	15	0	0	17	0	0
Alicornops	20	0	0	2	0	0
Alilepus	0	6	0	1	0	0
Alilepus	10	6	0	5	0	0
Alilepus	5	17	0	15	0	0
Aliveria	15	0	0	2	0	0
Aliveria	20	0	0	1	0	0
Allactaga	0	0	0	18	0	0
Allactaga	5	0	0	2	0	0
Alloblarinella	0	0	0	1	0	0
Alloblarinella	10	0	0	2	0	0
Alloblarinella	5	0	0	13	0	0
Allocricetus	0	0	0	46	0	0
Allocricetus	10	0	0	1	0	0
Allocricetus	5	0	0	15	0	0
Allocyon	30	2	0	0	0	0
Allodelphis	25	1	0	0	0	0
Alloeumyarion	15	0	0	2	0	0
Alloeumyarion	20	0	0	1	0	0
Allohippos	0	0	0	1	0	0
Allohuaxiamys	5	0	0	1	0	0
Allohyaena	10	0	0	5	0	0
Allomys	15	7	0	0	0	0
Allomys	20	2	0	0	0	0
Allomys	25	19	0	0	0	0
Allomys	30	18	0	0	0	0
Allophaiomys	0	12	0	86	0	0
Allophaiomys	5	0	0	2	0	0
Alloptox	10	0	0	14	0	0
Alloptox	15	0	0	17	0	0
Alloptox	20	0	0	1	0	0
Allorattus	5	0	0	6	0	0
Allosorex	10	0	0	1	0	0
Allosorex	15	0	0	5	0	0
Allosorex	20	0	0	2	0	0
Allosorex	5	0	0	2	0	0
Alluvisorex	10	27	0	0	0	0
Alluvisorex	15	9	0	0	0	0
Alopecocyon	10	1	0	4	0	0
Alopecocyon	15	0	0	8	0	0
Alopex	0	5	0	4	0	0
Alouatta	0	1	5	0	0	0
Alphagaulus	15	51	0	0	0	0
Alphagaulus	20	10	0	0	0	0
Alticola	0	0	0	4	0	0
Altitypotherium	15	0	2	0	0	0
Altomiramys	15	0	0	1	0	0
Altomiramys	20	0	0	4	0	0
Altomiramys	25	0	0	1	0	0
Aluralagus	0	4	0	0	0	0
Aluralagus	5	6	0	0	0	0
Alwoodia	20	1	0	0	0	0
Alwoodia	25	7	0	0	0	0
Alwoodia	30	10	0	0	0	0
Amahuacatherium	10	0	2	0	0	0
Amblonyx	0	0	0	2	0	0
Amblycastor	15	0	0	2	0	0
Amblycastor	20	0	0	4	0	0
Amblycastor	5	0	0	2	0	0
Amblycoptus	10	0	0	3	0	0
Amblycoptus	5	0	0	12	0	0
Amblysomus	0	0	0	0	2	0
Amblysomus	5	0	0	0	1	0
Amebelodon	10	17	0	2	0	0
Amebelodon	5	25	0	0	1	0
Ameniscomys	20	0	0	2	0	0
Ameuromys	10	0	0	0	1	0
Ammospermophilus	0	3	0	0	0	0
Ammospermophilus	10	24	0	0	0	0
Ammospermophilus	15	2	0	0	0	0
Ammospermophilus	5	4	0	0	0	0
Ampelomeryx	15	0	0	1	0	0
Ampelomeryx	20	0	0	1	0	0
Amphechinus	10	0	0	7	0	0
Amphechinus	15	0	0	10	4	0
Amphechinus	20	3	0	4	9	0
Amphechinus	25	10	0	26	0	0
Amphechinus	30	1	0	0	0	0
Amphicaenopus	30	1	0	0	0	0
Amphicticeps	25	0	0	1	0	0
Amphictis	20	0	0	13	0	0
Amphictis	25	0	0	3	0	0
Amphicyon	10	0	0	17	0	0
Amphicyon	15	74	0	63	1	0
Amphicyon	20	37	0	34	0	0
Amphicyon	5	0	0	1	0	0
Amphicyonopsis	10	0	0	1	0	0
Amphidyromys	0	0	0	3	0	0
Amphidyromys	5	0	0	4	0	0
Amphilagus	10	0	0	5	0	0
Amphilagus	15	0	0	2	0	0
Amphilagus	20	0	0	13	0	0
Amphilagus	25	0	0	4	0	0
Amphimachairodus	10	0	0	17	0	0
Amphimachairodus	5	1	0	26	1	0
Amphimoschus	15	0	0	30	0	0
Amphimoschus	20	0	0	5	0	0
Amphiocnus	10	0	1	0	0	0
Amphiperatherium	15	0	0	29	0	0
Amphiperatherium	20	0	0	22	0	0
Amphiperatherium	25	0	0	8	0	0
Amphiprox	10	0	0	7	0	0
Amphitragulus	15	0	0	2	0	0
Amphitragulus	20	0	0	23	0	0
Amphitragulus	25	0	0	1	0	0
Ampictis	15	0	0	1	0	0
Anadasypus	15	0	4	0	0	0
Anancus	0	2	0	45	12	0
Anancus	10	0	0	6	1	0
Anancus	5	0	0	112	45	0
Anantiosodon	15	0	1	0	0	0
Anapithecus	10	0	0	3	0	0
Anargyrolagus	20	0	1	0	0	0
Anasinopa	15	0	0	1	5	0
Anasinopa	20	0	0	0	2	0
Anatolictis	10	0	0	1	0	0
Anatolictis	15	0	0	1	0	0
Anatolomys	5	0	0	3	0	0
Ancenycteris	15	2	0	0	0	0
Anchiblarinella	10	2	0	0	0	0
Anchiblarinella	5	1	0	0	0	0
Anchippus	15	1	0	0	0	0
Anchippus	20	8	0	0	0	0
Anchippus	25	3	0	0	0	0
Anchiterium	15	1	0	0	0	0
Anchitheriomys	10	0	0	2	0	0
Anchitheriomys	15	14	0	27	0	0
Anchitheriomys	20	10	0	0	0	0
Anchitherium	10	0	0	26	0	0
Anchitherium	15	14	1	115	0	0
Anchitherium	20	22	3	27	0	0
Ancylotherium	0	0	0	0	7	0
Ancylotherium	10	0	0	13	1	0
Ancylotherium	5	0	0	21	8	0
Andegameryx	15	0	0	1	0	0
Andegameryx	20	0	0	27	0	0
Andinomys	0	0	1	0	0	0
Andrewsimys	20	0	0	0	2	0
Angustidens	10	0	0	1	0	0
Angustidens	15	3	0	0	0	0
Angustidens	20	3	0	0	0	0
Anisodon	0	0	0	1	0	0
Anisodon	10	0	0	21	0	0
Anisodon	15	0	0	23	0	0
Anisodon	20	0	0	1	0	0
Anisodon	5	0	0	1	0	0
Anisomys	0	0	0	0	0	16
Ankarapithecus	10	0	0	2	0	0
Ankylodon	30	1	0	0	0	0
Anoiapithecus	10	0	0	1	0	0
Anomalomys	10	0	0	82	0	0
Anomalomys	15	0	0	43	0	0
Anomalomys	20	0	0	12	0	0
Anomalomys	5	0	0	1	0	0
Anomalopithecus	5	0	0	0	1	0
Anomalurus	15	0	0	0	2	0
Anomodon	0	1	0	0	0	0
Anouroneomys	10	3	0	0	0	0
Anouroneomys	5	3	0	0	0	0
Anourosorex	0	0	0	13	0	0
Anourosorex	10	0	0	10	0	0
Anourosorex	5	0	0	4	0	0
Ansomys	15	5	0	4	0	0
Ansomys	20	0	0	1	0	0
Antecalomys	0	2	0	0	0	0
Antecalomys	10	4	0	0	0	0
Antecalomys	5	11	0	0	0	0
Antechinomys	0	0	0	0	0	2
Antechinus	0	0	0	0	0	142
Antechinus	5	0	0	0	0	1
Antemus	10	0	0	1	0	0
Antemus	15	0	0	4	0	0
Antesorex	15	2	0	0	0	0
Antesorex	20	3	0	0	0	0
Anthracoglis	10	0	0	4	0	0
Anthracomys	0	0	0	1	0	0
Anthracomys	10	0	0	3	0	0
Anthracomys	5	0	0	6	0	0
Anthracotherium	15	0	0	2	0	0
Anthracotherium	25	0	0	2	0	0
Antidorcas	0	0	0	0	69	0
Antidorcas	5	0	0	0	9	0
Antifer	0	0	2	0	0	0
Antifer	5	0	1	0	0	0
Antilocapra	0	20	0	0	0	0
Antilope	0	0	0	11	0	0
Antilope	5	0	0	0	1	0
Antilospira	0	0	0	3	0	0
Antilospira	5	0	0	4	0	0
Antrozous	0	12	0	0	0	0
Antrozous	10	1	0	0	0	0
