	0.0	0.0042	0.0082	0.0117	0.0126	0.773	1.8	2.58	3.6	5.333	7.246	11.63	13.82	15.97	20.44	23.03	27.82	33.9
Balantiomys	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
Barbourofelis	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
Barbouromeryx	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
Basirepomys	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
Bassaricyonoides	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bassariscus	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
Bensonomys	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0
Berberidaceae	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
Betulaceae	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
Bison	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
Blancocamelus	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
Blarina	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
Blastomeryx	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0
Blickomylus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bootherium	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Boraginaceae	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
Borocyon	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
Borophagus	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0
Bouromeryx	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
Brachycrus	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
Brachyerix	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0
Brachylagus	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Brachyopsigale	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
Brachyprotoma	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Brachypsalis	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
Bretzia	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
Buisnictis	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0
