lon	lat	age	label	paleolon	paleolat	x_albers	y_albers
-104.02	42.67	19.1	1	-99.91	43.45	-652678	2213385
-103.46	42.43	19.1	1	-99.35	43.2	-609305	2182928
-104.06	42.34	18.9	1	-99.96	43.12	-659050	2176902
-103.76	42.42	18.9	1	-99.66	43.2	-633846	2183775
-104.01	42.6	18.9	1	-99.91	43.38	-652524	2205521
-101.77	42.81	19.1	1	-97.63	43.55	-468890	2215713
-103.37	42.43	18.5	1	-99.48	43.16	-601969	2182354
-103.04	42.48	18.1	1	-99.14	43.2	-574652	2185885
-102.02	42.77	18.1	1	-98.1	43.48	-489462	2212512
-102.59	42.56	17.5	1	-98.68	43.28	-537361	2192173
-103.07	42.44	17.0	1	-99.39	43.13	-577429	2181607
-103.72	42.17	16.1	1	-100.27	42.83	-632854	2155646
-102.8	42.64	16.5	1	-99.33	43.28	-553817	2202298
-103.72	42.17	15.6	1	-100.27	42.83	-632854	2155646
-102.85	42.69	15.0	1	-99.59	43.29	-557480	2208164
-100.5	42.8	11.8	1	-97.86	43.26	-365826	2209020
-99.82	42.73	11.4	1	-97.39	43.14	-310892	2198784
-100.82	42.75	10.8	1	-98.4	43.17	-392102	2204715
-99.94	42.71	9.5	1	-97.73	43.08	-320746	2196949
-100.27	42.91	9.0	1	-98.28	43.26	-346589	2220435
-106.03	35.99	15.8	0	-102.75	36.68	-894528	1484867
-106.03	35.99	13.75	0	-103.15	36.59	-894528	1484867
-97.86195759999998	42.8164657	5.25	1	-96.75	43.0	-151378	2203680
-103.7732699	41.5239548	6.0	1	-102.48	41.77	-643117	2083963
-103.6247423	41.177774600000006	7.0	1	-102.11	41.47	-633961	2044341
-100.0224186	42.8244219	9.5	1	-97.81	43.2	-326910	2210005
-102.1317116	41.2649071	10.15	1	-99.95	41.66	-509387	2045089
-99.8301638	37.425487200000006	7.0	1	-98.34	37.69	-335657	1605201
-99.5385375	39.0011182	8.5	1	-97.81	39.31	-303538	1780687
-74.76	39.43	18.5	0	-70.78	39.6	1796615	2024716
-73.05	43.84	17.5	0	-68.9	43.97	1820551	2537375
-103.79	42.19	16.4	1	-100.34	42.85	-638397	2158344
-98.23	42.39	19.5	1	-93.85	43.09	-182414	2156669
-119.0	46.0	7.5	0	-116.33	45.92	-1766828	2771715
-115.0	42.0	3.0	1	-114.27	42.1	-1552666	2266644
-115.0	42.0	10.65	0	-112.32	42.37	-1552666	2266644
-107.0	40.0	18.45	1	-103.22	40.79	-928772	1940790
-107.0	41.0	18.45	1	-103.19	41.79	-915835	2052054
-107.0	41.0	14.95	1	-103.82	41.66	-915835	2052054
-114.1	42.24	11.95	0	-111.18	42.66	-1474951	2278641
-118.81	43.74	11.95	0	-114.76	43.63	-1812313	2523865
-117.03	43.26	14.95	0	-111.97	43.16	-1685063	2438951
-99.76	39.9	4.45	1	-98.9	40.05	-318541	1882075
-99.76	39.85	4.45	1	-98.9	40.0	-318763	1876477
-101.37	40.42	4.45	1	-100.51	40.58	-451524	1946792
-99.54	39.95	4.45	1	-98.67	40.1	-299703	1886958
-102.2	39.9	4.45	1	-101.34	40.06	-525019	1892905
-102.14	41.33	4.45	1	-101.27	41.49	-509604	2052405
-98.73	39.74	4.45	1	-97.86	39.89	-231825	1861174
-100.2	39.84	4.45	1	-99.34	40.0	-356091	1876919
-98.4	41.7	4.45	1	-97.52	41.85	-198266	2079852
-100.56	38.95	4.45	1	-99.7	39.11	-391375	1778698
-103.3	42.45	19.6	1	-98.98	43.26	-596091	2184142
-103.11	41.83	21.6	1	-98.31	42.66	-585789	2113817
-103.3	42.1	18.1	1	-99.42	42.83	-599095	2145119
-102.69	42.68	16.95	1	-99.0	43.36	-544559	2206122
-100.56	42.87	4.45	1	-99.68	43.03	-370325	2217065
-114.6	42.1	7.4	1	-112.89	42.34	-1518226	2271149
-114.68	42.08	7.7	1	-112.73	42.35	-1525109	2270235
-115.22	42.08	8.0	1	-113.27	42.35	-1568603	2279025
-114.67	42.0	8.6	1	-112.47	42.31	-1526050	2261298
-113.93	42.08	9.3	1	-111.73	42.39	-1464620	2258438
-114.3	42.4	10.2	1	-111.86	42.74	-1487624	2299322
-114.3	42.42	10.5	1	-111.86	42.76	-1487196	2301517
-114.28	42.33	10.55	1	-111.6	42.71	-1487515	2291327
-114.01	42.3	10.6	1	-111.33	42.68	-1466442	2283837
-114.27	42.33	10.7	1	-111.59	42.71	-1486711	2291170
-114.02	42.3	10.8	1	-111.34	42.68	-1467246	2283991
-114.07	42.15	11.6	1	-111.15	42.57	-1474439	2268292
-115.67	41.96	12.0	1	-111.6	41.88	-1607567	2273402
