lng	lat	avg_age	paleolng	paleolat	x_present_albers	y_present_albers
-62.75	79.25	23	-50.58	78.83	1483557	5863170
-62.25	79.25	23	-50.11	78.82	1504928	5871032
-61.75	79.25	23	-49.63	78.8	1526257	5879006
-61.25	79.25	23	-49.16	78.79	1547544	5887092
-60.75	79.25	23	-48.68	78.78	1568788	5895290
-60.25	79.25	23	-48.21	78.76	1589988	5903600
-59.75	79.25	23	-47.74	78.75	1611145	5912021
-59.25	79.25	23	-47.26	78.73	1632257	5920553
-58.75	79.25	23	-46.79	78.72	1653323	5929196
-58.25	79.25	23	-46.32	78.71	1674344	5937950
-57.75	79.25	23	-45.85	78.69	1695319	5946815
-57.25	79.25	23	-45.38	78.68	1716246	5955790
-56.75	79.25	23	-44.91	78.67	1737127	5964874
-56.25	79.25	23	-44.44	78.65	1757959	5974069
-55.75	79.25	23	-43.97	78.64	1778742	5983372
-55.25	79.25	23	-43.5	78.63	1799476	5992786
-54.75	79.25	23	-43.03	78.61	1820161	6002308
-54.25	79.25	23	-42.57	78.6	1840795	6011938
-53.75	79.25	23	-42.1	78.59	1861378	6021678
-53.25	79.25	23	-41.63	78.57	1881909	6031525
-52.75	79.25	23	-41.17	78.56	1902388	6041480
-52.25	79.25	23	-40.7	78.55	1922815	6051543
-103.75	78.75	23	-92.19	79.52	-354679	5589385
-103.25	78.75	23	-91.66	79.5	-331842	5587579
-102.75	78.75	23	-91.13	79.49	-308997	5585893
-102.25	78.75	23	-90.6	79.48	-286142	5584327
-101.75	78.75	23	-90.08	79.46	-263280	5582882
-101.25	78.75	23	-89.55	79.45	-240411	5581557
-100.75	78.75	23	-89.02	79.44	-217534	5580352
-100.25	78.75	23	-88.49	79.42	-194652	5579268
-98.25	78.75	23	-86.4	79.37	-103076	5576135
-97.75	78.75	23	-85.87	79.35	-80173	5575653
-93.75	78.75	23	-81.72	79.24	103076	5576135
-93.25	78.75	23	-81.2	79.22	125976	5576737
-92.75	78.75	23	-80.69	79.21	148872	5577460
-92.25	78.75	23	-80.17	79.19	171765	5578304
-91.75	78.75	23	-79.66	79.18	194652	5579268
-91.25	78.75	23	-79.14	79.17	217534	5580352
-90.75	78.75	23	-78.63	79.15	240411	5581557
-90.25	78.75	23	-78.12	79.14	263280	5582882
-89.75	78.75	23	-77.61	79.12	286142	5584327
-89.25	78.75	23	-77.1	79.11	308997	5585893
-88.75	78.75	23	-76.59	79.09	331842	5587579
-88.25	78.75	23	-76.08	79.08	354679	5589385
-87.75	78.75	23	-75.57	79.06	377506	5591311
-86.75	78.75	23	-74.55	79.03	423127	5595523
-86.25	78.75	23	-74.05	79.02	445921	5597809
-85.75	78.75	23	-73.54	79	468702	5600215
-85.25	78.75	23	-73.03	78.99	491470	5602741
-84.75	78.75	23	-72.53	78.98	514225	5605387
-84.25	78.75	23	-72.03	78.96	536965	5608152
-83.75	78.75	23	-71.52	78.95	559691	5611037
-82.25	78.75	23	-70.02	78.9	627772	5620409
-81.75	78.75	23	-69.52	78.89	650431	5623771
-81.25	78.75	23	-69.02	78.87	673073	5627253
-80.75	78.75	23	-68.52	78.86	695696	5630854
-80.25	78.75	23	-68.02	78.84	718300	5634574
-79.75	78.75	23	-67.52	78.83	740884	5638412
-79.25	78.75	23	-67.02	78.81	763448	5642370
-78.75	78.75	23	-66.53	78.8	785990	5646446
-78.25	78.75	23	-66.03	78.78	808510	5650640
-77.75	78.75	23	-65.54	78.77	831009	5654953
-77.25	78.75	23	-65.04	78.75	853484	5659385
-76.75	78.75	23	-64.55	78.74	875935	5663934
-76.25	78.75	23	-64.05	78.73	898363	5668602
-75.75	78.75	23	-63.56	78.71	920765	5673387
-75.25	78.75	23	-63.07	78.7	943142	5678291
-69.75	78.75	23	-57.69	78.54	1187430	5739961
-69.25	78.75	23	-57.21	78.52	1209453	5746266
-68.75	78.75	23	-56.72	78.51	1231442	5752687
-68.25	78.75	23	-56.24	78.49	1253398	5759224
-67.75	78.75	23	-55.75	78.48	1275319	5765876
-67.25	78.75	23	-55.27	78.46	1297204	5772644
-66.75	78.75	23	-54.79	78.45	1319053	5779526
-66.25	78.75	23	-54.31	78.44	1340867	5786524
-65.75	78.75	23	-53.83	78.42	1362642	5793636
-65.25	78.75	23	-53.35	78.41	1384381	5800862
-64.75	78.75	23	-52.87	78.39	1406080	5808203
-64.25	78.75	23	-52.39	78.38	1427741	5815658
-63.75	78.75	23	-51.91	78.36	1449363	5823226
-63.25	78.75	23	-51.43	78.35	1470944	5830909
-62.75	78.75	23	-50.95	78.34	1492485	5838704
-62.25	78.75	23	-50.48	78.32	1513984	5846614
-61.75	78.75	23	-50	78.31	1535441	5854636
-61.25	78.75	23	-49.52	78.3	1556856	5862770
-60.75	78.75	23	-49.05	78.28	1578228	5871018
-60.25	78.75	23	-48.57	78.27	1599556	5879377
-59.75	78.75	23	-48.1	78.25	1620840	5887849
-59.25	78.75	23	-47.62	78.24	1642079	5896433
-58.75	78.75	23	-47.15	78.23	1663272	5905128
-58.25	78.75	23	-46.68	78.21	1684420	5913935
-57.75	78.75	23	-46.2	78.2	1705520	5922853
-57.25	78.75	23	-45.73	78.19	1726574	5931881
-56.75	78.75	23	-45.26	78.17	1747580	5941021
-56.25	78.75	23	-44.79	78.16	1768537	5950270
-55.75	78.75	23	-44.32	78.15	1789446	5959630
-55.25	78.75	23	-43.85	78.13	1810305	5969100
-54.75	78.75	23	-43.38	78.12	1831113	5978679
-54.25	78.75	23	-42.91	78.11	1851871	5988368
-53.75	78.75	23	-42.44	78.09	1872578	5998166
-53.25	78.75	23	-41.97	78.08	1893233	6008072
-52.75	78.75	23	-41.5	78.07	1913836	6018087
-52.25	78.75	23	-41.04	78.05	1934386	6028211
-101.25	78.25	23	-89.92	78.95	-241904	5554553
-100.75	78.25	23	-89.39	78.94	-218886	5553341
-100.25	78.25	23	-88.87	78.93	-195861	5552250
-99.75	78.25	23	-88.34	78.91	-172832	5551280
-97.75	78.25	23	-86.25	78.86	-80671	5548612
-97.25	78.25	23	-85.73	78.84	-57624	5548248
-96.75	78.25	23	-85.21	78.83	-34575	5548006
-96.25	78.25	23	-84.69	78.81	-11525	5547884
-95.75	78.25	23	-84.17	78.8	11525	5547884
-91.75	78.25	23	-80.04	78.69	195861	5552250
-91.25	78.25	23	-79.52	78.67	218886	5553341
-90.75	78.25	23	-79.01	78.66	241904	5554553
-89.75	78.25	23	-77.99	78.63	287920	5557340
-89.25	78.25	23	-77.47	78.61	310916	5558916
-88.75	78.25	23	-76.96	78.6	333904	5560612
-87.25	78.25	23	-75.44	78.55	402809	5566426
-86.75	78.25	23	-74.93	78.54	425756	5568606
-86.25	78.25	23	-74.42	78.53	448691	5570906
-85.75	78.25	23	-73.92	78.51	471613	5573327
-85.25	78.25	23	-73.41	78.5	494523	5575869
-84.75	78.25	23	-72.91	78.48	517419	5578531
-84.25	78.25	23	-72.4	78.47	540301	5581314
-83.75	78.25	23	-71.9	78.45	563167	5584216
-83.25	78.25	23	-71.4	78.44	586018	5587240
-82.75	78.25	23	-70.89	78.42	608853	5590383
-82.25	78.25	23	-70.39	78.41	631671	5593646
-81.75	78.25	23	-69.89	78.39	654472	5597030
-81.25	78.25	23	-69.39	78.38	677254	5600533
-80.75	78.25	23	-68.89	78.36	700018	5604156
-80.25	78.25	23	-68.39	78.35	722762	5607899
-79.75	78.25	23	-67.89	78.33	745486	5611761
